City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Tiksi,RU,71.6872,128.8694,-18.49,100,96,3.87,overcast clouds
70,Pacifica,US,37.6138,-122.4869,66.74,72,20,1.01,few clouds
71,Chardara,KZ,41.2547,67.9692,32.95,57,5,10.42,clear sky
72,Porto Torres,IT,40.835,8.3972,53.78,83,59,14.18,broken clouds
73,Ancud,CL,-41.8697,-73.8203,62.13,59,35,10.94,scattered clouds
74,Zabid,YE,14.1951,43.3152,74.16,69,43,4.79,scattered clouds
75,Kaitangata,NZ,-46.2817,169.8464,68.94,75,17,3.38,few clouds
76,Kingman,US,35.1894,-114.053,64.89,8,0,4.0,clear sky
77,Banda Aceh,ID,5.5577,95.3222,76.37,82,69,7.76,broken clouds
78,Najran,SA,17.4924,44.1277,59.65,31,13,1.36,few clouds
79,Havre-Saint-Pierre,CA,50.2334,-63.5986,12.2,72,40,14.97,scattered clouds
80,Meulaboh,ID,4.1363,96.1285,76.21,87,80,3.04,broken clouds
81,Saint-Philippe,RE,-21.3585,55.7679,76.59,83,43,10.13,scattered clouds
82,Lubango,AO,-14.9172,13.4925,58.26,91,98,4.76,overcast clouds
83,Saldanha,ZA,-33.0117,17.9442,66.25,92,71,6.58,broken clouds
84,Mopipi,BW,-21.1833,24.8833,72.12,76,80,11.63,light rain
85,Nome,US,64.5011,-165.4064,-0.83,77,0,0.0,clear sky
86,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,33,40,8.05,scattered clouds
87,Mataura,NZ,-46.1927,168.8643,72.48,58,46,1.7,scattered clouds
88,Tabou,CI,4.423,-7.3528,79.45,87,22,6.51,few clouds
89,Norman Wells,CA,65.282,-126.8329,-25.56,68,75,0.0,light snow
90,Hamilton,US,39.1834,-84.5333,38.64,57,0,11.5,clear sky
91,Slantsy,RU,59.1182,28.0914,27.73,97,100,5.39,snow
92,Maceio,BR,-9.6658,-35.7353,81.84,83,20,4.61,few clouds
93,Hithadhoo,MV,-0.6,73.0833,81.55,70,76,8.93,broken clouds
94,Vao,NC,-22.6667,167.4833,79.11,85,99,8.55,overcast clouds
95,Victoria,HK,22.2855,114.1577,59.25,77,88,1.99,overcast clouds
96,Benguela,AO,-12.5763,13.4055,76.68,80,100,4.43,overcast clouds
97,Sainte-Rose,GP,16.3324,-61.6979,78.84,73,75,5.75,broken clouds
98,Chuy,UY,-33.6971,-53.4616,71.64,72,16,14.05,few clouds
99,Padang,ID,-0.9492,100.3543,73.45,88,100,3.71,heavy intensity rain
100,Longyearbyen,SJ,78.2186,15.6401,8.44,61,0,20.71,clear sky
101,Benghazi,LY,32.1167,20.0667,56.46,62,97,18.77,overcast clouds
102,Dikson,RU,73.5069,80.5464,-4.4,94,100,21.59,overcast clouds
103,Nabire,ID,-3.3667,135.4833,75.87,87,100,3.58,overcast clouds
104,Kruisfontein,ZA,-34.0033,24.7314,66.88,96,84,2.75,broken clouds
105,Port Alfred,ZA,-33.5906,26.891,73.4,89,98,16.98,overcast clouds
106,Nanortalik,GL,60.1432,-45.2371,17.73,83,100,23.31,snow
107,Alta Floresta,BR,-9.8756,-56.0861,70.65,97,98,3.04,overcast clouds
108,Tazovskiy,RU,67.4667,78.7,-10.37,99,99,8.52,overcast clouds
109,Paramonga,PE,-10.6667,-77.8333,71.65,82,100,8.05,overcast clouds
110,Tuzha,RU,57.6062,47.936,14.29,96,99,5.32,overcast clouds
111,Terra Rica,BR,-22.7094,-52.6169,74.17,87,64,4.9,broken clouds
112,Am Timan,TD,11.0297,20.2827,71.2,18,4,8.08,clear sky
113,Flinders,AU,-34.5833,150.8552,82.06,73,18,7.0,few clouds
114,Vestmannaeyjar,IS,63.4427,-20.2734,31.64,63,100,38.18,light snow
115,Belaya Gora,RU,68.5333,146.4167,-32.17,100,87,2.26,overcast clouds
116,Severo-Kurilsk,RU,50.6789,156.125,28.11,95,100,9.15,snow
117,Port Hedland,AU,-20.3167,118.5667,80.65,89,95,9.22,overcast clouds
118,Lorengau,PG,-2.0226,147.2712,79.09,85,100,12.95,overcast clouds
119,Feni,BD,23.0186,91.41,53.11,68,16,4.0,few clouds
120,Saint George,US,37.1041,-113.5841,64.87,16,0,1.99,clear sky
121,Yakima,US,46.4665,-120.6678,32.18,85,100,3.44,overcast clouds
122,Lompoc,US,34.6391,-120.4579,73.02,45,0,19.57,clear sky
123,Katangli,RU,51.7102,143.2326,-1.01,93,100,18.61,overcast clouds
124,Waingapu,ID,-9.6567,120.2641,79.11,83,100,10.33,overcast clouds
125,Paamiut,GL,61.994,-49.6678,15.37,78,100,6.73,light snow
126,San Cristobal,VE,7.7669,-72.225,69.98,83,96,3.67,overcast clouds
127,Ishigaki,JP,24.3448,124.1572,59.13,67,75,10.36,broken clouds
128,Marau,BR,-28.4492,-52.2,67.17,88,48,2.06,scattered clouds
129,Sterling,US,39.0062,-77.4286,31.33,55,100,5.99,overcast clouds
130,Harper,LR,4.375,-7.7169,79.52,86,61,7.16,broken clouds
